Tipo de produto florestal;Tipo de Floresta;Tipo de Uso;Tipo de produto extrativo (com código);Tipo de produto extrativo;Unidade de Medida PEVS;Unidade de Medida transformada;Ano_PEVS;Quantidade PEVS;Quantidade transformada;Valor (mil reais)
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;2009;4238;4238;4013
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;2010;4030;4030;4774
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;2011;3179;3179;3820
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;2012;3054;3054;4033
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;2013;2931;2931;4057
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;2014;2489;2489;4386
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;1994;38882;38882;8367
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;1995;40216;40216;8853
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;1996;21469;21469;6998
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;1997;22786;22786;9082
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;1998;23111;23111;9652
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;1999;26856;26856;13056
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2000;33431;33431;18556
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2001;28467;28467;27695
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2002;27389;27389;30379
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2003;24894;24894;24587
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2004;27059;27059;30661
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2005;30975;30975;46866
PFNM;Floresta Natural;Alimentícios;1.3 - Castanha-do-pará (Toneladas);Castanha-do-Pará;Toneladas;Toneladas;2006;28806;28806;43908
